,idx,trial,idx_position,side_left_right,side_top_bottom,idx_velocity_y,length,Block,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,Dir Base,Dir Block,Dir Video,Path Video,Path Color Changes,Path Parameters,idx_time
0,127,bounce,0.0,0.0,0.0,1.0,336,1,green,106.666664,20.666666,27.306666666666665,34.13333333333333,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_1/video_1_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_1/video_1_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_1/video_1_parameters.csv,
1,5,straight,,0.0,0.0,0.0,187,1,green,106.666664,171.00919,27.306666666666665,-20.48,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_2/video_2_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_2/video_2_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_2/video_2_parameters.csv,0.0
2,83,straight,,0.0,0.0,1.0,348,1,blue,138.66667,82.54617,27.306666666666665,-34.13333333333333,0.01,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_3,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_3/video_3_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_3/video_3_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_3/video_3_parameters.csv,3.0
3,2,catch,,,,,186,1,red,20.0,92.0,-27.306666666666665,-20.48,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_4/video_4_red.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_4/video_4_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_4/video_4_parameters.csv,
4,121,bounce,9.0,0.0,0.0,0.0,219,1,blue,138.66667,32.4,27.306666666666665,20.48,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_5,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_5/video_5_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_5/video_5_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_5/video_5_parameters.csv,
5,123,bounce,11.0,1.0,1.0,1.0,195,1,blue,106.666664,208.66667,-27.306666666666665,-34.13333333333333,0.045,0.1,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_6,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_6/video_6_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_6/video_6_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_6/video_6_parameters.csv,
6,79,bounce,9.0,0.0,0.0,1.0,203,1,red,138.66667,47.333332,27.306666666666665,34.13333333333333,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_7,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_7/video_7_red.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_7/video_7_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_7/video_7_parameters.csv,
7,17,bounce,3.0,1.0,0.0,0.0,224,1,green,128.0,16.4,-27.306666666666665,20.48,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_8,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_8/video_8_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_8/video_8_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_8/video_8_parameters.csv,
8,46,straight,,0.0,1.0,0.0,190,1,green,117.333336,101.98163,27.306666666666665,20.48,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_9,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_9/video_9_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_9/video_9_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_9/video_9_parameters.csv,1.0
9,65,bounce,9.0,0.0,1.0,1.0,191,1,blue,138.66667,208.66667,27.306666666666665,-34.13333333333333,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_10,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_10/video_10_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_10/video_10_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_10/video_10_parameters.csv,
10,15,straight,,1.0,1.0,1.0,205,1,green,149.33333,96.31802,-27.306666666666665,34.13333333333333,0.01,0.1,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_11,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_11/video_11_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_11/video_11_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_11/video_11_parameters.csv,0.0
11,26,straight,,1.0,0.0,1.0,204,1,red,138.66667,83.63654,-27.306666666666665,-34.13333333333333,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_12,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_12/video_12_red.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_12/video_12_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_12/video_12_parameters.csv,1.0
12,59,straight,,1.0,0.0,0.0,187,1,green,106.666664,79.31852,-27.306666666666665,-20.48,0.01,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_13,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_13/video_13_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_13/video_13_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_13/video_13_parameters.csv,4.0
13,49,straight,,1.0,0.0,0.0,226,1,red,106.666664,31.863703,-27.306666666666665,-20.48,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_14,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_14/video_14_red.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_14/video_14_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_1/video_14/video_14_parameters.csv,4.0
14,42,straight,,1.0,1.0,0.0,209,2,green,128.0,102.25422,-27.306666666666665,20.48,0.045,0.1,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_1/video_1_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_1/video_1_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_1/video_1_parameters.csv,2.0
15,13,bounce,13.0,1.0,1.0,1.0,190,2,blue,106.666664,195.33333,-27.306666666666665,-34.13333333333333,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_2/video_2_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_2/video_2_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_2/video_2_parameters.csv,
16,11,catch,,,,,186,2,red,186.5,92.0,-27.306666666666665,-20.48,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_3,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_3/video_3_red.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_3/video_3_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_3/video_3_parameters.csv,
17,73,straight,,0.0,1.0,0.0,211,2,green,138.66667,236.0,27.306666666666665,20.48,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_4/video_4_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_4/video_4_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_4/video_4_parameters.csv,3.0
18,65,straight,,0.0,0.0,0.0,242,2,blue,106.666664,171.00919,27.306666666666665,-20.48,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_5,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_5/video_5_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_5/video_5_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_5/video_5_parameters.csv,0.0
19,74,straight,,1.0,0.0,0.0,192,2,blue,106.666664,67.45481,-27.306666666666665,-20.48,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_6,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_6/video_6_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_6/video_6_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_6/video_6_parameters.csv,4.0
20,7,straight,,1.0,1.0,1.0,190,2,blue,128.0,236.0,-27.306666666666665,34.13333333333333,0.01,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_7,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_7/video_7_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_7/video_7_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_7/video_7_parameters.csv,2.0
21,132,bounce,5.0,0.0,1.0,1.0,198,2,blue,128.0,222.0,27.306666666666665,-34.13333333333333,0.01,0.1,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_8,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_8/video_8_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_8/video_8_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_8/video_8_parameters.csv,
22,30,bounce,2.0,0.0,0.0,0.0,244,2,green,117.333336,16.4,27.306666666666665,20.48,0.01,0.1,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_9,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_9/video_9_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_9/video_9_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_9/video_9_parameters.csv,
23,62,bounce,6.0,1.0,1.0,1.0,260,2,green,117.333336,222.0,-27.306666666666665,-34.13333333333333,0.01,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_10,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_10/video_10_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_10/video_10_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_10/video_10_parameters.csv,
24,53,bounce,11.0,1.0,1.0,1.0,187,2,green,106.666664,208.66667,-27.306666666666665,-34.13333333333333,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_11,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_11/video_11_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_11/video_11_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_11/video_11_parameters.csv,
25,119,bounce,6.0,0.0,0.0,0.0,204,2,blue,138.66667,24.4,27.306666666666665,20.48,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_12,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_12/video_12_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_12/video_12_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_12/video_12_parameters.csv,
26,104,bounce,5.0,1.0,0.0,1.0,191,2,red,128.0,34.0,-27.306666666666665,34.13333333333333,0.01,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_13,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_13/video_13_red.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_13/video_13_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_13/video_13_parameters.csv,
27,19,straight,,0.0,0.0,1.0,197,2,green,149.33333,20.0,27.306666666666665,-34.13333333333333,0.01,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_14,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_14/video_14_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_14/video_14_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_2/video_14/video_14_parameters.csv,4.0
28,13,catch,,,,,186,3,red,219.5,68.0,-27.306666666666665,-34.13333333333333,0.01,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_1,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_1/video_1_red.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_1/video_1_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_1/video_1_parameters.csv,
29,55,bounce,13.0,0.0,1.0,1.0,205,3,green,149.33333,195.33333,27.306666666666665,-34.13333333333333,0.045,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_2,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_2/video_2_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_2/video_2_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_2/video_2_parameters.csv,
30,89,bounce,4.0,1.0,0.0,1.0,217,3,green,128.0,20.666666,-27.306666666666665,34.13333333333333,0.045,0.9,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_3,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_3/video_3_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_3/video_3_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_3/video_3_parameters.csv,
31,100,straight,,0.0,1.0,1.0,242,3,green,106.666664,96.31802,27.306666666666665,34.13333333333333,0.01,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_4/video_4_green.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_4/video_4_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_4/video_4_parameters.csv,0.0
32,52,straight,,0.0,1.0,1.0,234,3,blue,128.0,152.95407,27.306666666666665,34.13333333333333,0.01,0.5,0.0,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_5,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_5/video_5_blue.mp4,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_5/video_5_color_change.csv,/home/apra/work/time-scales/data/raw/hmdcpd/test_datasets/hbb_dataset_240502_180044/videos/block_3/video_5/video_5_parameters.csv,2.0
