Timestamp,Color Changed
0,False
40,False
80,False
120,False
160,False
200,False
240,False
280,True
320,False
360,False
400,False
440,False
480,False
520,True
560,False
600,False
640,False
680,False
720,False
760,False
800,True
840,False
880,False
920,True
960,False
1000,False
1040,True
1080,False
1120,False
1160,False
1200,False
1240,True
1280,False
1320,False
1360,False
1400,True
1440,False
1480,False
1520,False
1560,False
1600,False
1640,False
1680,False
1720,False
1760,False
1800,False
1840,False
1880,False
1920,False
1960,False
2000,True
2040,False
2080,False
2120,False
2160,True
2200,False
2240,False
2280,False
2320,True
2360,True
2400,False
2440,True
2480,False
2520,False
2560,False
2600,False
2640,False
2680,False
2720,False
2760,True
2800,False
2840,False
2880,False
2920,True
2960,False
3000,True
3040,True
3080,False
3120,False
3160,True
3200,False
3240,False
3280,False
3320,True
3360,False
3400,False
3440,False
3480,False
3520,True
3560,False
3600,True
3640,False
3680,False
3720,False
3760,False
3800,False
3840,False
3880,True
3920,True
3960,False
4000,False
4040,False
4080,False
4120,False
4160,False
4200,False
4240,False
4280,False
4320,False
4360,False
4400,False
4440,False
4480,False
4520,False
4560,False
4600,True
4640,False
4680,False
4720,False
4760,False
4800,False
4840,False
4880,False
4920,True
4960,False
5000,False
5040,False
5080,True
5120,False
5160,False
5200,False
5240,False
5280,True
5320,False
5360,False
5400,False
5440,False
5480,True
5520,False
5560,False
5600,False
5640,True
5680,True
5720,True
5760,True
5800,False
5840,False
5880,False
5920,False
5960,False
6000,False
6040,False
6080,False
6120,False
6160,True
6200,False
6240,False
6280,False
6320,True
6360,True
6400,False
6440,False
6480,False
6520,False
6560,False
6600,True
6640,False
6680,False
6720,False
6760,False
6800,False
6840,True
6880,False
6920,False
6960,False
7000,False
7040,False
7080,False
7120,True
7160,False
7200,True
7240,False
7280,True
7320,False
7360,False
7400,False
7440,False
7480,False
7520,True
7560,False
7600,False
7640,True
7680,False
7720,True
7760,False
7800,False
7840,False
7880,False
7920,False
7960,True
8000,False
8040,False
8080,True
8120,True
8160,False
8200,False
8240,False
8280,True
8320,False
8360,True
8400,True
8440,False
8480,False
8520,False
8560,False
8600,False
8640,False
8680,False
8720,False
8760,True
8800,False
8840,False
8880,False
8920,False
8960,False
9000,False
9040,False
9080,False
9120,False
9160,False
9200,False
9240,False
9280,True
9320,False
9360,False
9400,False
9440,False
9480,False
9520,False
9560,False
9600,False
9640,False
9680,False
9720,True
9760,False
9800,False
9840,False
9880,False
9920,True
